Day,OrderID,ItemPrice,ToppingsUsed,DrinkType,OrderAccuracy,TimeTaken
1,1,80,2,Milkshake,Correct,48
1,2,120,2,Sprite,Correct,18
1,3,160,3,Sprite,Correct,55
1,4,120,2,Sprite,Correct,32
1,5,70,2,Coke,Correct,38
1,6,105,2,Water,Correct,18
1,7,50,1,Milkshake,Correct,11
1,8,40,1,Water,Correct,33
1,9,130,3,Milkshake,Correct,39
1,10,155,3,Coke,Correct,28
1,11,110,2,Water,Correct,42
1,12,70,2,Milkshake,Correct,53
1,13,100,3,Water,Correct,35
1,14,50,1,Milkshake,Correct,51
1,15,80,2,Milkshake,Correct,55
1,16,140,3,Sprite,Correct,16
1,17,40,1,Water,Correct,14
1,18,20,1,Sprite,Correct,43
1,19,225,3,Coke,Correct,51
1,20,110,3,Coke,Correct,57
2,1,93.6,2,Coke,Correct,36
2,2,171.7,3,Milkshake,Correct,39
2,3,43.0,2,Water,Correct,57
2,4,54.0,1,Milkshake,Correct,26
2,5,214.6,3,Milkshake,Correct,21
2,6,54.0,1,Sprite,Correct,31
2,7,93.6,2,Water,Correct,22
2,8,46.3,1,Water,Correct,46
2,9,68.3,2,Coke,Correct,11
2,10,21.0,1,Coke,Correct,37
2,11,21.0,1,Water,Correct,10
2,12,173.35,3,Milkshake,Correct,45
2,13,52.35,1,Sprite,Correct,46
2,14,46.3,1,Water,Correct,46
2,15,175.0,3,Sprite,Correct,41
2,16,76.0,2,Milkshake,Correct,50
2,17,54.0,1,Sprite,Correct,40
2,18,54.0,1,Sprite,Correct,10
2,19,183.24999999999997,3,Milkshake,Correct,12
2,20,46.3,1,Water,Correct,45
3,1,46.300000000000004,2,Sprite,Correct,40
3,2,185.45,3,Milkshake,Correct,18
3,3,74.13,2,Coke,Correct,10
3,4,118.9,3,Milkshake,Correct,15
3,5,118.89999999999999,2,Milkshake,Correct,60
3,6,82.6,2,Water,Correct,20
3,7,247.16,3,Milkshake,Correct,29
3,8,118.89999999999999,2,Coke,Correct,21
3,9,262.89,3,Coke,Correct,40
3,10,58.4,1,Sprite,Correct,18
3,11,118.9,3,Coke,Correct,35
3,12,143.1,2,Milkshake,Correct,46
3,13,58.4,1,Milkshake,Correct,60
3,14,138.26,2,Milkshake,Correct,21
3,15,143.1,2,Coke,Correct,39
3,16,143.1,2,Milkshake,Correct,24
3,17,143.1,2,Water,Correct,16
3,18,22.1,1,Coke,Correct,51
3,19,149.15,2,Water,Correct,20
3,20,219.32999999999998,3,Milkshake,Correct,15
4,1,289.51,3,Milkshake,Correct,60
4,2,63.239999999999995,1,Sprite,Correct,40
4,3,49.92999999999999,2,Water,Correct,17
4,4,89.85999999999999,2,Milkshake,Correct,14
4,5,316.13,3,Sprite,Correct,60
4,6,276.2,3,Milkshake,Correct,47
4,7,289.51,3,Water,Correct,29
4,8,143.1,2,Sprite,Correct,56
4,9,129.79,2,Sprite,Correct,31
4,10,289.51,3,Milkshake,Correct,43
4,11,103.17,2,Milkshake,Correct,12
4,12,163.065,2,Milkshake,Correct,53
4,13,49.92999999999999,2,Coke,Correct,14
4,14,143.1,2,Water,Correct,25
4,15,143.1,2,Sprite,Correct,41
4,16,103.17,2,Sprite,Correct,25
4,17,49.92999999999999,2,Water,Correct,18
4,18,143.1,2,Sprite,Correct,17
4,19,129.79,2,Milkshake,Correct,16
4,20,276.2,3,Milkshake,Correct,57
5,1,141.76899999999998,2,Coke,Correct,29
5,2,185.69199999999998,2,Water,Correct,28
5,3,141.76899999999998,2,Sprite,Correct,53
5,4,156.41,2,Sprite,Correct,50
5,5,24.641,1,Milkshake,Correct,50
5,6,68.564,1,Water,Correct,11
5,7,24.641,1,Water,Correct,28
5,8,53.923,1,Water,Correct,45
5,9,185.69199999999998,2,Milkshake,Correct,37
5,10,68.564,1,Milkshake,Correct,40
5,11,112.487,2,Sprite,Correct,28
5,12,258.89699999999993,3,Milkshake,Correct,14
5,13,127.12799999999999,2,Milkshake,Correct,30
5,14,68.564,1,Coke,Correct,48
5,15,229.61499999999998,3,Sprite,Correct,12
5,16,229.61499999999998,3,Sprite,Correct,17
5,17,185.69199999999998,2,Milkshake,Correct,52
5,18,207.65349999999995,3,Milkshake,Correct,23
5,19,97.84599999999999,2,Milkshake,Correct,16
5,20,90.5255,2,Milkshake,Correct,54
